Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Ryan 1991,1991AJ....102..303R,JINA,Coude Echelle Spectrometer (CES) at AAT (3.9m),55000,self,1,1991AJ....102..303R
Kipper 1994,1994A&A...290..148K,SAGA,Lynx spectrograph on 6m Telescope,nan,self,2,1994AAP...290..148K
McWilliam 1995,1995AJ....109.2736M,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",22000,"Moore ( 1966, sst, book, M)",3,1995AJ....109.2736M
McWilliam 1995,1995AJ....109.2757M,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",22000,"Anders and Grevesse (1989, GeCoA, 53, 197)",4,1995AJ....109.2757M
Ryan 1996,1996ApJ...471..254R,JINA,Siding Spring Mountain Observatory Telescope (2.3m),nan,"Anders and Grevesse (1989, GeCoA, 53, 197)",5,1996ApJ...471..254R
Norris 1997,1997ApJ...485..370N,JINA,Coude Echelle Spectrometer (CES) at AAT (3.9m),40000,self,6,1997ApJ...485..370N
Norris 1997,1997ApJ...488..350N,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Anders and Grevesse (1989, GeCoA, 53, 197)",7,1997ApJ...488..350N
Norris 1997,1997ApJ...489L.169N,JINA,Coude Echelle Spectrometer (CES) at AAT (3.9m),40000,self,8,1997ApJ...489L.169N
Zacs 1998,1998A&A...337..216Z,JINA,CASPEC Echelle Spectrograph at ESO (3.6m),30000,"Anders and Grevesse (1989, GeCoA, 53, 197)",9,1998A&A...337..216Z
Shetrone 1998,1998AJ....115.1888S,SAGA,"HIRES on Keck I (HIRES, 10m)",34000,self,10,1998AJ....115.1888S
Sneden 1998,1998ApJ...496..235S,SAGA,Goddard High-Resolution Spectrograph (GHRS) on Hubble Space Telescope (HST),32000,"Grevesse et al. (1996, ASPC, 99, 117)",11,1998ApJ...496..235S
Ryan 1998,1998ApJ...506..892R,SAGA,"Utrecht echelle spectrograph (UES) on William Herschel Telescope (WHT,4.2m)",52000,"Moore ( 1966, sst, book, M)",12,1998ApJ...506..892R
Boesgaard 1999,1999AJ....117..492B,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Anders and Grevesse (1989, GeCoA, 53, 197)",13,1999AJ....117..492B
Chen 2000,2000A&AS..141..491C,SAGA,Coude Echelle Spectrometer (CES) at ESO (3.6m),40000,self,14,2000......141..491C
Hill 2000,2000A&A...353..557H,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,"Grevesse et al. (1996, ASPC, 99, 117)",15,2000AAP...353..557H
Gratton 2000,2000A&A...354..169G,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,unregistered,16,2000AAP...354..169G
Bonifacio 2000,2000A&A...359..663B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,self,17,2000AAP...359..663B
Spite 2000,2000A&A...360.1077S,SAGA,"ESO Multi-Mode Instrument (EMMI) at New Technology Telescope (NTT, 3.58m)",50000,unregistered,18,2000AAP...360.1077S
Primas 2000,2000A&A...362..666P,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",48000,"Anders and Grevesse (1989, GeCoA, 53, 197)",19,2000AAP...362..666P
Depagne 2000,2000A&A...364L...6D,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,self,20,2000AAP...364L...6D
Primas 2000,2000A&A...364L..42P,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,"Grevesse & Sauval (1998, SSRv, 85, 161)",21,2000AAP...364L..42P
Preston 2000,2000AJ....120.1014P,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",30000,self,22,2000AJ....120.1014P
Fulbright 2000,2000AJ....120.1841F,SAGA,CAssegrain echelle SPECtrograph (CASPEC) at ESO (3.6m),50000,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",23,2000AJ....120.1841F
Westin 2000,2000ApJ...530..783W,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Anders and Grevesse (1989, GeCoA, 53, 197)",24,2000ApJ...530..783W
Sneden 2000,2000ApJ...533L.139S,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Anders and Grevesse (1989, GeCoA, 53, 197)",25,2000ApJ...533L.139S
Aoki 2000,2000ApJ...536L..97A,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Grevesse et al. (1996, ASPC, 99, 117)",26,2000ApJ...536L..97A
Norris 2000,2000ApJ...540..456N,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Anders and Grevesse (1989, GeCoA, 53, 197)",27,2000ApJ...540..456N
Burris 2000,2000ApJ...544..302B,SAGA,"Mayall telescope at Kitt Peak National Observatory (KPNO, 4m)",20000,"Anders and Grevesse (1989, GeCoA, 53, 197)",28,2000ApJ...544..302B
Mishenina 2001,2001A&A...370..951M,SAGA,ELODIE spectrograph on the Haute Provence Observatoir (1.93m),42000,"Arlandini et al. (1999, ApJ, 525, 886)",29,2001AAP...370..951M
Preston 2001,2001AJ....122.1545P,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",30000,self,30,2001AJ....122.1545P
Preston 2001,2001AJ....122.1545P,JINA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",30000,self,41,2001cond.mat..3452P
Shetrone 2001,2001ApJ...548..592S,SAGA,"HIRES on Keck I (HIRES, 10m)",34000,self,31,2001ApJ...548..592S
