Name,RAJ2000,DEJ2000,Galaxy,Vmag,Imag,T_eff,log_g,Fe_H,Mg_Fe,Si_Fe,Ca_Fe,Ti_Fe,Simbad,Star ID,Paper,logL,S_N,a_Fe,l_C_Fe,C_Fe,l_C_Fe_c,C_Fe_c,S2CH,Cstar,e_T_eff,vt,e_Fe_H,e_a_Fe,Ba_Fe,e_Ba_Fe,K10,o_Mg,e_Mg_Fe,o_Y,Y_Fe,e_Y_Fe,o_Ba,o_La,La_Fe,e_La_Fe,o_Nd,Nd_Fe,e_Nd_Fe,o_Eu,Eu_Fe,e_Eu_Fe,e_log_g,e_vt,Mn_Fe,e_Mn_Fe,K16,logeps_Mg,e_tot_Mg,logeps_Sc,e_tot_Sc,logeps_Ti,e_tot_Ti,logeps_Cr,e_tot_Cr,logeps_Mn,e_tot_Mn,logeps_Ni,e_tot_Ni,logeps_Zn,e_tot_Zn,logeps_Sr,e_tot_Sr,logeps_Ba,e_tot_Ba,logeps_Eu,e_tot_Eu,Jmag,Hmag,Kmag,l_RV,RV,e_RV,Co_Fe,e_Co_Fe,er_Co_Fe,Ni_Fe,e_Ni_Fe,er_Ni_Fe,o_Ni_Fe,er_Ba_Fe,o_Ba_Fe,er_Eu_Fe,A,Nmasks,HRV,e_HRV,Member,f_Mm,e_Si_Fe,e_Ca_Fe,e_Ti_Fe,ID_K15,ID_M16,f_MIC2016,Radius,gP1mag,e_gP1mag,iP1mag,e_iP1mag,Masks,sigma,EW,Fe_H_CaT,e_Fe_H_CaT,slitmask,SNR
1002473,14.8399167,-33.7160833,Scl,19.492000579833984,18.584999084472656,5085.0,2.0199999809265137,-2.299999952316284,0.6499999761581421,0.5899999737739563,0.6399999856948853,0.25999999046325684,Simbad,Scl_0,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002447,14.84025,-33.6837778,Scl,18.083999633789062,17.014999389648438,4689.0,1.2699999809265137,-2.0399999618530273,0.36000001430511475,0.4699999988079071,0.33000001311302185,0.2800000011920929,Simbad,Scl_1,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002888,14.849375,-33.7164167,Scl,19.41900062561035,18.410999298095703,4818.0,1.8700000047683716,-1.9700000286102295,,0.30000001192092896,0.4699999988079071,-0.019999999552965164,Simbad,Scl_2,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002888,14.849375,-33.7164167,Scl,,,4833.0,1.8700000047683716,-1.9600000381469727,,,,,,Scl_2,Kirby 2015,2.140000104904175,5.300000190734863,0.10000000149011612,<,-0.9700000286102295,<,-0.7900000214576721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003386,14.8619583,-33.6746944,Scl,18.658000946044922,17.586000442504883,4660.0,1.4900000095367432,-1.2999999523162842,-0.5,0.20999999344348907,0.14000000059604645,0.029999999329447746,Simbad,Scl_3,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003386,14.86194583,-33.67469444,Scl,,,4695.0,1.4900000095367432,-1.2899999618530273,,,,,[KGS2010] Scl 1003386,Scl_3,Duggan 2018,,,0.05999999865889549,,,,,,,34.0,1.7899999618530273,0.10000000149011612,0.10000000149011612,-0.3400000035762787,0.2199999988079071,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003386,14.8619583,-33.6746944,Scl,,,4694.0,1.4900000095367432,-1.2899999618530273,,,,,,Scl_3,Kirby 2015,2.4700000286102295,8.699999809265137,0.05999999865889549,,-0.6800000071525574,,-0.25,1.8300000429153442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003505,14.8630417,-33.7283611,Scl,17.61400032043457,16.354999542236328,4366.0,0.8799999952316284,-1.8200000524520874,0.25999999046325684,0.20000000298023224,0.20000000298023224,0.0,Simbad,Scl_4,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003505,14.8630375,-33.72836944,Scl,,,4391.0,0.8799999952316284,-1.809999942779541,,,,,[KGS2010] Scl 1003505,Scl_4,Duggan 2018,,,0.05000000074505806,,,,,,,24.0,1.9299999475479126,0.10000000149011612,0.09000000357627869,-0.2199999988079071,0.14000000059604645,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003505,14.8630417,-33.7283611,Scl,,,4390.0,0.8799999952316284,-1.809999942779541,,,,,,Scl_4,Kirby 2015,2.950000047683716,15.300000190734863,0.05000000074505806,,-1.100000023841858,,-0.3700000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003443,14.8639167,-33.6464722,Scl,18.009000778198242,16.95400047302246,4732.0,1.2599999904632568,-1.6200000047683716,0.5099999904632568,0.05999999865889549,0.20000000298023224,0.05000000074505806,Simbad,Scl_5,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003443,14.8639,-33.64648333,Scl,,,4436.0,1.2599999904632568,-1.8200000524520874,,,,,[KGS2010] Scl 1003443,Scl_5,Duggan 2018,,,-0.10999999940395355,,,,,,,68.0,1.840000033378601,0.10000000149011612,0.12999999523162842,-0.5600000023841858,0.23999999463558197,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003443,14.8639167,-33.6464722,Scl,,,4433.0,1.2599999904632568,-1.809999942779541,,,,,,Scl_5,Kirby 2015,2.7200000286102295,13.0,-0.10999999940395355,,-1.0299999713897705,,-0.4099999964237213,1.7300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003537,14.865375,-33.6765,Scl,17.094999313354492,15.72599983215332,4259.0,0.5799999833106995,-2.2799999713897705,0.41999998688697815,0.4000000059604645,0.3400000035762787,0.20000000298023224,Simbad,Scl_6,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003537,14.865375,-33.6765,Scl,,,4278.0,0.5799999833106995,-2.259999990463257,,,,,,Scl_6,Kirby 2015,3.200000047683716,22.5,0.20999999344348907,,-0.9599999785423279,,-0.18000000715255737,1.6699999570846558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UET0049,14.8653333,-33.6765278,Scl,,,4255.0,0.20000000298023224,-2.180000066757202,0.38999998569488525,,,,Simbad,Scl_6,Skuladottir 2019,,,,,,,,,,,2.299999952316284,0.20000000298023224,,-0.44999998807907104,0.12999999523162842,,3.0,0.14000000059604645,7.0,-0.5299999713897705,0.05999999865889549,3.0,3.0,0.0,0.15000000596046448,11.0,-0.029999999329447746,0.09000000357627869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003694,14.8679167,-33.702,Scl,16.9689998626709,15.404999732971191,3923.0,0.3199999928474426,-1.6299999952316284,0.09000000357627869,0.10000000149011612,0.029999999329447746,-0.10000000149011612,Simbad,Scl_7,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003694,14.8679167,-33.702,Scl,,,3920.0,0.3199999928474426,-1.6699999570846558,,,,,,Scl_7,Kirby 2015,3.3499999046325684,21.299999237060547,-0.03999999910593033,,-1.4199999570846558,,-0.6600000262260437,1.6699999570846558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET0109,14.867875,-33.702,Scl,,,4003.0,0.0,-1.850000023841858,0.550000011920929,,,,Simbad,Scl_7,Skuladottir 2019,,,,,,,,,,,2.5999999046325684,0.10999999940395355,,0.3400000035762787,0.07999999821186066,,1.0,0.09000000357627869,3.0,-0.3400000035762787,0.15000000596046448,2.0,6.0,0.03999999910593033,0.07999999821186066,16.0,0.10999999940395355,0.03999999910593033,1.0,0.6499999761581421,0.11999999731779099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003702,14.8696667,-33.6491111,Scl,18.851999282836914,17.790000915527344,4581.0,1.5800000429153442,-1.8899999856948853,,0.3400000035762787,0.10000000149011612,0.10999999940395355,Simbad,Scl_8,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003702,14.86968333,-33.6491,Scl,,,4604.0,1.5800000429153442,-1.8700000047683716,,,,,[KGS2010] Scl 1003702,Scl_8,Duggan 2018,,,0.14000000059604645,,,,,,,50.0,1.7699999809265137,0.10000000149011612,0.10999999940395355,-0.5199999809265137,0.25999999046325684,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
