Paper name,ViziER tag,Columns,Members,Data source,Tables included
Kirby 2009,J/ApJS/191/352,"['RAJ2000', 'DEJ2000', 'Galaxy', 'Name', '_', '_', 'Vmag', 'Imag', 'T_eff', 'log_g', 'Fe_H', 'Mg_Fe', 'Si_Fe', 'Ca_Fe', 'Ti_Fe', 'Simbad']","['Scl', 'For', 'LeoI', 'Sex', 'LeoII', 'CVnI', 'UMi', 'Dra']",Vizier,['abun']
Duggan 2018,J/ApJ/869/50,"['RAJ2000', 'DEJ2000', 'Name', 'Name', '_', '_', 'T_eff', 'e_T_eff', 'log_g', 'vt', 'Fe_H', 'e_Fe_H', 'a_Fe', 'e_a_Fe', 'Ba_Fe', 'e_Ba_Fe', '_', 'K10', '_', 'Simbad']","['Dra', 'UMi', 'Scl', 'For', 'Sex']",Vizier,['table6']
Kirby 2015,J/ApJ/801/125,"['RAJ2000', 'DEJ2000', 'Galaxy', 'Name', '_', '_', '_', '_', '_', '_', '_', '_', 'logL', 'S_N', 'T_eff', 'log_g', 'Fe_H', 'a_Fe', 'l_C_Fe', 'C_Fe', 'l_C_Fe_c', 'C_Fe_c', 'S2CH', 'Cstar']","['NGC2419', 'M68', 'M15', 'Scl', 'For', 'Dra', 'UMi']",Vizier,['table4']
Skuladottir 2019,J/A+A/631/A171,"['RAJ2000', 'DEJ2000', 'Name', '_', '_', 'T_eff', 'log_g', 'vt', 'Fe_H', 'e_Fe_H', 'o_Mg', 'Mg_Fe', 'e_Mg_Fe', 'o_Y', 'Y_Fe', 'e_Y_Fe', 'o_Ba', 'Ba_Fe', 'e_Ba_Fe', 'o_La', 'La_Fe', 'e_La_Fe', 'o_Nd', 'Nd_Fe', 'e_Nd_Fe', 'o_Eu', 'Eu_Fe', 'e_Eu_Fe', 'Simbad']",['Scl'],Vizier,['tableb1']
Theler 2020,J/A+A/642/A176,"['e_Co_Fe', 'Name', 'o_Ni_Fe', 'Vmag', 'Hmag', 'er_Eu_Fe', 'Co_Fe', 'e_Ba_Fe', 'Kmag', '_', 'l_RV', 'Simbad', 'Jmag', 'e_Eu_Fe', 'RAJ2000', 'DEJ2000', 'er_Ni_Fe', 'Ni_Fe', 'RV', 'Eu_Fe', 'o_Ba_Fe', 'e_RV', 'Ba_Fe', 'Imag', 'er_Ba_Fe', 'e_Ni_Fe', 'er_Co_Fe']",['Sex'],Vizier,"['table12', 'table2']"
de los Reyes 2020,J/ApJ/891/85,"['RAJ2000', 'DEJ2000', 'Galaxy', 'Name', '_', '_', 'T_eff', 'e_T_eff', 'log_g', 'e_log_g', 'vt', 'e_vt', 'a_Fe', 'e_a_Fe', 'Fe_H', 'e_Fe_H', 'Mn_Fe', 'e_Mn_Fe', 'K10', 'K16', 'Simbad']","['Scl', 'For', 'LeoI', 'CVnIa', 'UMi', 'UMaII', 'M15', 'M2', 'M53']",Vizier,['table7']
Kirby 2017-A,J/ApJ/834/9,"['HRV', 'Name', 'T_eff', 'e_Mg_Fe', 'Mg_Fe', 'e_HRV', '_', 'Simbad', 'Member', 'Ti_Fe', 'Fe_H', 'RAJ2000', 'e_Ti_Fe', 'e_Ca_Fe', 'log_g', 'e_a_Fe', 'Si_Fe', 'e_Si_Fe', 'DEJ2000', 'A', 'e_Fe_H', 'Galaxy', 'Ca_Fe', 'a_Fe', 'f_Mm', 'S_N', 'Nmasks']","['SagDIG', 'Aquarius', 'LeoA']",Vizier,"['table3', 'table2']"
Kirby 2017,J/ApJ/838/83,"['HRV', 'T_eff', 'e_Mg_Fe', 'Mg_Fe', 'ID_M16', 'e_HRV', 'iP1mag', '_', 'Simbad', 'Member', 'Ti_Fe', 'e_iP1mag', 'Fe_H', 'RAJ2000', 'gP1mag', 'EW', 'e_Ti_Fe', 'e_Ca_Fe', 'log_g', 'e_a_Fe', 'Si_Fe', 'Fe_H_CaT', 'e_Si_Fe', 'DEJ2000', 'sigma', 'f_MIC2016', 'Masks', 'A', 'e_gP1mag', 'e_Fe_H', 'Radius', 'Ca_Fe', 'a_Fe', 'e_Fe_H_CaT', 'f_Mm', 'S_N', 'ID_K15']",['TriII'],Vizier,"['table4', 'table2']"
Reichert 2020,J/A+A/641/A127,"['logeps_Eu', 'e_T_eff', 'logeps_Ba', 'logeps_Ni', 'logeps_Sr', 'e_tot_Ni', 'logeps_Sc', 'T_eff', 'e_tot_Sc', 'RAJ2000', 'e_tot_Zn', 'Name', 'e_tot_Ti', 'Fe_H', 'e_tot_Sr', 'log_g', 'e_tot_Eu', 'Simbad', '_', 'e_Fe_H', 'logeps_Mg', 'logeps_Cr', 'e_log_g', 'e_tot_Mg', 'Galaxy', 'e_tot_Cr', 'e_tot_Mn', 'DEJ2000', 'e_tot_Ba', 'logeps_Ti', 'logeps_Zn', 'logeps_Mn']","['Scl', 'Car', 'LeoI', 'Sex', 'SegI', 'For', 'RetII', 'TriII', 'Sgr', 'UMaII', 'BooI', 'UMi', 'Dra']",Vizier,"['tableo1', 'tableo3']"
Kirby 2020,J/AJ/159/46,"['RAJ2000', 'DEJ2000', 'Galaxy', 'Name', '_', '_', 'Vmag', 'Imag', 'slitmask', 'SNR', 'HRV', 'Member', 'T_eff', 'log_g', 'Fe_H', 'a_Fe', 'Mg_Fe', 'Si_Fe', 'Ca_Fe', 'Ti_Fe', '_', '_', 'Simbad']","['AndromedaVII', 'AndromedaI', 'AndromedaIII', 'AndromedaV', 'AndromedaX']",Vizier,['table2']
