#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-10-11T05:05:21 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-10-11T05:05:21	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=50
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=key:c=00 59 58.2, -33 41 08&pos:00 59 58.2, -33 41 08(   2 arcmin J2000)&HTTPPRM:&&-ref=VIZ6526279451663&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c=00 59 58.2, -33 41 08&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-source=II/363
#-c=00 59 58.2, -33 41 08
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=50	
#INFO	-c=014.992500-33.685556,rm=2.	
#Constraint -bmark=POST

#RESOURCE=yCat_2363
#Name: II/363
#Title: The band-merged unWISE Catalog (Schlafly+, 2019)
#INFO	ivoid=ivo://cds.vizier/ii/363	
#INFO	publisher=CDS	
#INFO	creator=Schlafly E.F.	
#INFO	related_resource=bibcode:2019ApJS..240...30S	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/363	
#INFO	publication_date=2021-02-17	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	II_363_unwise:
#Name: II/363/unwise
#Title: the band-merged unWISE catalog (among 2,214,734,224 sources)
#Column	_r	(F6.4)	Distance from center (014.9925000-33.6855556)[FK5/J2000]	[ucd=pos.angDistance]
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	objID	(a16)	Unique object identifier (unwise_objid)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F11.7)	W1 right ascension, if available; otherwise W2 right ascension (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	W1 declination, if available; otherwise W2 declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	FW1	(E11.4)	[-1337840/5.3E10] Flux in the W1 (3.4um) band in "Vega nMgy" (fluxW1) (1)	[ucd=phot.flux;em.IR.3-4um]
#Column	FW2	(E11.4)	[-4367380/7E10] Flux in the W2 (4.6um) band in "Vega nMgy" (fluxW2) (1)	[ucd=phot.flux;em.IR.4-8um]
#Column	e_FW1	(E11.4)	[0/1E10] Uncertainty in FW1 (statistical only) (dfluxW1) (1)	[ucd=stat.error;phot.flux;em.IR.3-4um]
#Column	e_FW2	(E11.4)	[0/1E10] Uncertainty in FW2 (statistical only) (dflxW2) (1)	[ucd=stat.error;phot.flux;em.IR.4-8um]
#Column	q_W1	(F8.5)	[0/1] Quality factor on W1 (1=good detection) (qfW1) (2)	[ucd=meta.code.qual]
#Column	q_W2	(F8.5)	[0/1] Quality factor on W2 (1=good detection) (qfW2) (2)	[ucd=meta.code.qual]
#Column	fFW1	(F8.4)	[-64/564] Fraction of W1 flux in this object's PSF that comes from this object (fracfluxW1)	[ucd=meta.number]
#Column	fFW2	(F8.4)	[-29.1/156.5] Fraction of W2 flux in this object's PSF that comes from this object (fracfluxW2)	[ucd=meta.number]
_r|_RAJ2000|_DEJ2000|objID|RAJ2000|DEJ2000|FW1|FW2|e_FW1|e_FW2|q_W1|q_W2|fFW1|fFW2
arcmin|deg|deg| |deg|deg|309.05nJy|167.66nJy|309.05nJy|167.66nJy| | | |
------|-------------|-------------|----------------|-----------|-----------|-----------|-----------|-----------|-----------|--------|--------|--------|--------
0.0154|014.992727400|-33.685728000|0143m334o0006987|014.9927274|-33.6857280| 1.4760e+03| 1.3191e+03| 9.4160e+00| 2.9166e+01| 1.00000| 1.00000|  0.9915|  0.9946
0.1813|014.992817000|-33.682544800|0143m334o0062462|014.9928170|-33.6825448| 8.1873e+01| 0.0000e+00| 6.7604e+00| 0.0000e+00| 1.00000| 0.00000|  0.5502|  0.0000
0.3152|014.996523700|-33.681506400|0143m334o0052335|014.9965237|-33.6815064| 9.1603e+01| 0.0000e+00| 6.7385e+00| 0.0000e+00| 1.00000| 0.00000|  0.6963|  0.0000
0.3200|014.993294400|-33.690847000|0143m334o0036210|014.9932944|-33.6908470| 7.0623e+01| 0.0000e+00| 6.6860e+00| 0.0000e+00| 1.00000| 0.00000|  0.7704|  0.0000
0.3725|014.985972200|-33.682550300|0143m334o0007043|014.9859722|-33.6825503| 1.1510e+03| 1.0680e+03| 8.8930e+00| 2.8637e+01| 1.00000| 1.00000|  0.9891|  0.9920
0.3776|014.999489600|-33.687961200|0143m334o0073452|014.9994896|-33.6879612| 4.4338e+01| 0.0000e+00| 6.6280e+00| 0.0000e+00| 1.00000| 0.00000|  0.5090|  0.0000
0.3954|014.988624900|-33.691302200|0143m334o0036211|014.9886249|-33.6913022| 9.9136e+01| 0.0000e+00| 6.7581e+00| 0.0000e+00| 1.00000| 0.00000|  0.8887|  0.0000
0.4284|015.000229800|-33.682456000|0143m334o0007042|015.0002298|-33.6824560| 3.9730e+02| 4.6155e+02| 7.4067e+00| 2.6911e+01| 1.00000| 1.00000|  0.9395|  0.9679
0.4623|015.001757500|-33.685369900|0143m334o0052311|015.0017575|-33.6853699| 1.0358e+02| 0.0000e+00| 6.7348e+00| 0.0000e+00| 1.00000| 0.00000|  0.7401|  0.0000
0.5382|014.987038100|-33.677822500|0143m334o0052352|014.9870381|-33.6778225| 1.3715e+02| 0.0000e+00| 6.8958e+00| 0.0000e+00| 1.00000| 0.00000|  0.7339|  0.0000
0.5475|015.002741800|-33.688818300|0143m334o0006927|015.0027418|-33.6888183| 1.9601e+02| 1.9537e+02| 6.9803e+00| 2.6343e+01| 1.00000| 1.00000|  0.8441|  0.8668
0.5743|014.997039900|-33.694349800|0143m334o0062310|014.9970399|-33.6943498| 6.5739e+01| 0.0000e+00| 6.6789e+00| 0.0000e+00| 1.00000| 0.00000|  0.5355|  0.0000
0.5911|014.986187900|-33.693891400|0143m334o0036179|014.9861879|-33.6938914| 7.8425e+01| 0.0000e+00| 6.7117e+00| 0.0000e+00| 1.00000| 0.00000|  0.9067|  0.0000
0.6059|015.000514400|-33.677973000|0143m334o0007132|015.0005144|-33.6779730| 2.2384e+02| 1.8501e+02| 7.0514e+00| 2.6398e+01| 1.00000| 1.00000|  0.8771|  0.8237
0.6242|014.988685700|-33.675647900|0143m334o0007174|014.9886857|-33.6756479| 1.6063e+02| 1.7358e+02| 6.9487e+00| 2.6550e+01| 1.00000| 1.00000|  0.8025|  0.8983
0.6434|014.992790800|-33.674834500|0143m334o0052370|014.9927908|-33.6748345| 1.3418e+02| 0.0000e+00| 6.8647e+00| 0.0000e+00| 1.00000| 0.00000|  0.8131|  0.0000
0.6601|015.004288700|-33.680574000|0143m334o0007085|015.0042887|-33.6805740| 2.0108e+02| 1.6456e+02| 6.9613e+00| 2.6184e+01| 1.00000| 1.00000|  0.8458|  0.8064
0.6613|014.983329400|-33.677604000|0143m334o0062524|014.9833294|-33.6776040| 5.1726e+01| 0.0000e+00| 6.7269e+00| 0.0000e+00| 1.00000| 0.00000|  0.4164|  0.0000
0.6630|014.989721700|-33.696360400|0143m334o0036148|014.9897217|-33.6963604| 9.8493e+01| 0.0000e+00| 6.7274e+00| 0.0000e+00| 1.00000| 0.00000|  0.9142|  0.0000
0.6811|015.002322400|-33.693433200|0143m334o0006835|015.0023224|-33.6934332| 1.1342e+03| 9.6796e+02| 9.1904e+00| 2.9051e+01| 1.00000| 1.00000|  0.7959|  0.7460
0.6875|014.978829000|-33.686930100|0143m334o0062418|014.9788290|-33.6869301| 5.4711e+01| 0.0000e+00| 6.6947e+00| 0.0000e+00| 1.00000| 0.00000|  0.5002|  0.0000
0.7043|015.006512500|-33.684199900|0143m334o0062442|015.0065125|-33.6841999| 7.7038e+01| 0.0000e+00| 6.8596e+00| 0.0000e+00| 1.00000| 0.00000|  0.3605|  0.0000
0.7062|014.998594400|-33.674934600|0143m334o0007189|014.9985944|-33.6749346| 4.5369e+02| 5.3023e+02| 7.5421e+00| 2.7566e+01| 1.00000| 1.00000|  0.9246|  0.9408
0.7126|014.996128800|-33.697041500|0143m334o0062273|014.9961288|-33.6970415| 1.4433e+02| 0.0000e+00| 6.9841e+00| 0.0000e+00| 1.00000| 0.00000|  0.5421|  0.0000
0.7218|014.978583400|-33.688816000|0143m334o0006928|014.9785834|-33.6888160| 2.4214e+02| 2.6957e+02| 7.0927e+00| 2.6814e+01| 1.00000| 1.00000|  0.9403|  0.9843
0.7300|014.984437500|-33.675405500|0143m334o0007190|014.9844375|-33.6754055| 5.4349e+02| 3.9032e+02| 7.7805e+00| 2.7156e+01| 1.00000| 1.00000|  0.9528|  0.9589
0.7446|015.004071000|-33.693385000|0143m334o0029266|015.0040710|-33.6933850| 6.0552e+02| 5.6718e+02| 8.4955e+00| 2.8265e+01| 1.00000| 1.00000|  0.5441|  0.5043
0.7469|015.002312700|-33.694952700|0143m334o0073419|015.0023127|-33.6949527| 4.4837e+01| 0.0000e+00| 7.2416e+00| 0.0000e+00| 1.00000| 0.00000|  0.0793|  0.0000
0.7470|015.007451200|-33.686049100|0143m334o0073461|015.0074512|-33.6860491| 4.8518e+01| 0.0000e+00| 6.6615e+00| 0.0000e+00| 1.00000| 0.00000|  0.3581|  0.0000
0.7600|014.994862000|-33.673042800|0143m334o0026749|014.9948620|-33.6730428| 1.3766e+02| 1.6639e+02| 6.9088e+00| 2.6314e+01| 1.00000| 1.00000|  0.7081|  0.8049
0.7615|014.999191100|-33.696961700|0143m334o0029262|014.9991911|-33.6969617| 4.6416e+02| 7.3778e+02| 7.8053e+00| 2.7758e+01| 1.00000| 1.00000|  0.7173|  0.9671
0.7684|015.007543100|-33.682848800|0143m334o0007041|015.0075431|-33.6828488| 3.4284e+02| 3.5469e+02| 7.4080e+00| 2.6804e+01| 1.00000| 1.00000|  0.8238|  0.9090
0.7882|014.997244200|-33.673027000|0143m334o0062589|014.9972442|-33.6730270| 8.3306e+01| 0.0000e+00| 6.7896e+00| 0.0000e+00| 1.00000| 0.00000|  0.4102|  0.0000
0.7975|014.998357200|-33.697921600|0143m334o0036134|014.9983572|-33.6979216| 2.7118e+02| 0.0000e+00| 7.5882e+00| 0.0000e+00| 1.00000| 0.00000|  0.4814|  0.0000
0.8446|014.996659100|-33.699201100|0143m334o0073411|014.9966591|-33.6992011| 4.7518e+01| 0.0000e+00| 6.7763e+00| 0.0000e+00| 1.00000| 0.00000|  0.3104|  0.0000
0.8501|014.975798800|-33.682792900|0143m334o0007044|014.9757988|-33.6827929| 2.2499e+02| 2.5948e+02| 7.0786e+00| 2.6735e+01| 1.00000| 1.00000|  0.9618|  0.9798
0.8626|015.008930100|-33.681108900|0143m334o0029300|015.0089301|-33.6811089| 2.1195e+02| 1.6887e+02| 7.0622e+00| 2.6162e+01| 1.00000| 1.00000|  0.7504|  0.7640
0.8627|014.987384400|-33.699289200|0143m334o0036106|014.9873844|-33.6992892| 7.3688e+01| 0.0000e+00| 6.6521e+00| 0.0000e+00| 1.00000| 0.00000|  0.8915|  0.0000
0.8668|014.992512800|-33.700001400|0143m334o0080224|014.9925128|-33.7000014| 0.0000e+00| 1.3565e+02| 0.0000e+00| 2.6313e+01| 0.00000| 1.00000|  0.0000|  0.9106
0.8930|014.996244400|-33.700109700|0143m334o0080223|014.9962444|-33.7001097| 0.0000e+00| 1.3722e+02| 0.0000e+00| 2.6266e+01| 0.00000| 1.00000|  0.0000|  0.8027
0.8978|015.010273400|-33.687831700|0143m334o0006946|015.0102734|-33.6878317| 6.2133e+02| 6.0312e+02| 7.9557e+00| 2.7224e+01| 1.00000| 1.00000|  0.8707|  0.9033
0.9074|014.981659000|-33.697694900|0143m334o0036124|014.9816590|-33.6976949| 1.0058e+02| 0.0000e+00| 6.8324e+00| 0.0000e+00| 1.00000| 0.00000|  0.8904|  0.0000
0.9159|015.010826500|-33.686235000|0143m334o0062429|015.0108265|-33.6862350| 1.3691e+02| 0.0000e+00| 7.0420e+00| 0.0000e+00| 1.00000| 0.00000|  0.4119|  0.0000
0.9170|015.001885200|-33.672417900|0143m334o0007232|015.0018852|-33.6724179| 2.9306e+02| 4.5932e+02| 7.2336e+00| 2.7160e+01| 1.00000| 1.00000|  0.8893|  0.9246
0.9172|015.008596300|-33.678189400|0143m334o0073501|015.0085963|-33.6781894| 8.2871e+01| 0.0000e+00| 6.6893e+00| 0.0000e+00| 1.00000| 0.00000|  0.5743|  0.0000
0.9286|015.010134200|-33.690480100|0143m334o0062371|015.0101342|-33.6904801| 1.0344e+02| 0.0000e+00| 7.0080e+00| 0.0000e+00| 1.00000| 0.00000|  0.3762|  0.0000
